Transaction Reference,Account ID,BEN_Link,OWN_Link,Person Code,Account Type,Seller ID Code,Type of Seller ID Code,First Name,Surname,Date of Birth,Gender,Primary Nationality,Secondary Nationality,Trade_Date_Time
TXN300,ACCS001,,,PSABC,IND,AB234567D,NIDN,Helen,Brown,1982-09-10,F,GB,,2026-01-15-10-00-00-000000
TXN301,ACCS001,,,PSABC,IND,AB234567A,NIDN,Helen,Brown,1982-09-10,F,GB,,2026-02-15-10-00-00-000000
TXN302,ACCS001,,,PSABC,IND,AB234567D,NIDN,Helen,Brown,1982-09-10,F,GB,,2026-03-15-10-00-00-000000
TXN303,ACCS002,,,PSCON,IND,CD345678E,NIDN,Tom,Davis,1978-04-25,M,GB,,2026-01-10-10-00-00-000000
TXN304,ACCS002,,,PSCON,IND,CD345678E,NIDN,Tom,Davis,1978-04-25,M,GB,,2026-02-10-10-00-00-000000
TXN305,ACCS002,,,PSCON,IND,CD345678E,NIDN,Tom,Davis,1978-04-25,M,GB,,2026-03-10-10-00-00-000000
TXN306,ACCS003,,,PSINV,IND,CD345678Z,NIDN,Carol,Evans,1991-11-08,F,GB,,2026-01-20-10-00-00-000000
TXN307,ACCS003,,,PSINV,IND,CD345678Z,NIDN,Carol,Evans,1991-11-08,F,GB,,2026-02-20-10-00-00-000000
TXN308,ACCS003,,,PSINV,IND,CD345678Z,NIDN,Carol,Evans,1991-11-08,F,GB,,2026-03-20-10-00-00-000000
TXN309,ACCS004,,,PSFIX,IND,BADSELLERBAD,NIDN,Lena,Muller,1993-07-18,F,GB,,2026-01-05-09-00-00-000000
TXN310,ACCS004,,,PSFIX,IND,AB234567D,NIDN,Lena,Muller,1993-07-18,F,GB,,2026-03-05-09-00-00-000000
TXN311,ACCS005,,,PSFAL,IND,GB_PSFAL,NIDN,Paul,Laurent,1987-02-14,M,GB,,2026-02-01-09-00-00-000000
TXN312,ACTS001,,,PSACCT,IND,AB234567D,NIDN,Sophie,White,1979-08-22,F,GB,,2026-01-20-10-00-00-000000
TXN313,ACTS002,,,PSACCT,IND,AB234567A,NIDN,Sophie,White,1979-08-22,F,GB,,2026-02-20-10-00-00-000000
TXN314,ACTS003,,,PSACCT,IND,AB234567B,NIDN,Sophie,White,1979-08-22,F,GB,,2026-03-20-10-00-00-000000
TXN315,ACCS006,,,PSSRT,IND,AB234567B,NIDN,Nikos,Papadopoulos,1986-03-20,M,GB,,2026-03-10-10-00-00-000000
TXN316,ACCS006,,,PSSRT,IND,AB234567A,NIDN,Nikos,Papadopoulos,1986-03-20,M,GB,,2026-01-10-10-00-00-000000
TXN317,ACCS006,,,PSSRT,IND,AB234567D,NIDN,Nikos,Papadopoulos,1986-03-20,M,GB,,2026-02-10-10-00-00-000000
