Transaction Reference,Account ID,Field2,Field3,Field4,Person Code,Account Type,Seller ID Code,Type of Seller ID Code,First Name,Surname,Date of Birth,Gender,Primary Nationality,Secondary Nationality
TXN101,ACC101,,,,P101,IND,AB234567D,NIDN,Helen,Brown,1982-09-10,F,GB,
TXN102,ACC102,,,,P102,IND,AB234567A,NIDN,Tom,Davis,1978-04-25,M,GB,
TXN103,ACC103,,,,P103,IND,FD123456C,NIDN,Carol,Evans,1991-11-08,F,GB,
TXN104,ACC104,,,,P104,IND,GB19820910HELE#BROW#,CONCAT,Helen,Brown,1982-09-10,F,GB,
TXN105,ACC105,,,,P105,IND,GB20001225HELE#BROW#,CONCAT,Helen,Brown,1982-09-10,F,GB,
TXN106,ACC106,,,,P106,IND,GB19820910HELE#BROW#,NIDN,Helen,Brown,1982-09-10,F,GB,
TXN107,ACC107,,,,P107,IND,549300TESTLEI0000002,LEI,,,,,GB,
TXN108,ACC108,,,,P108,IND,TESTBADLE2WRONGFMTYY,LEI,,,,,GB,
TXN109,ACC109,,,,P109,IND,,,Lena,Muller,1993-07-18,F,DE,
TXN110,ACC110,,,,P110,IND,,NIDN,Paul,Laurent,1987-02-14,M,FR,
TXN111,ACC111,,,,P111,IND,GB_P111,,Sophie,White,1979-08-22,F,GB,
TXN112,ACC112,,,,P112,IND,RSSMRA80A01H501U,NIDN,Mario,Rossi,1980-01-01,M,IT,
TXN113,ACC113,,,,P113,IND,RSSMRA80X01H501U,NIDN,Mario,Rossi,1980-01-01,M,IT,
TXN114,ACC114,,,,P114,IND,199001012389,NIDN,Anna,Lindqvist,1990-01-01,F,SE,
TXN115,ACC115,,,,P115,IND,1990010123XX,NIDN,Anna,Lindqvist,1990-01-01,F,SE,
TXN116,ACC116,,,,P116,IND,E234567,CCPT,Nikos,Papadopoulos,1986-03-20,M,CY,
TXN117,ACC117,,,,P117,IND,FR19820910HELE#BROW#,CONCAT,Helene,Brossard,1982-09-10,F,FR,
TXN118,JNT0002,,,,PJNT02A,JNT,AB234567D,NIDN,Peter,Johnson,1979-12-05,M,GB,
TXN119,JNT0002,,,,PJNT02B,JNT,EF567890A,NIDN,Laura,Johnson,1981-06-18,F,GB,
TXN120,ACCSHORT2
