Transaction Reference,Account ID,Field2,Field3,Field4,Person Code,Account Type,Buyer ID Code,Type of Buyer ID Code,First Name,Surname,Date of Birth,Gender,Primary Nationality,Secondary Nationality
TXN001,ACC001,,,,P001,IND,AB123456C,NIDN,John,Smith,1985-06-15,M,GB,
TXN002,ACC002,,,,P002,IND,AB123456Z,NIDN,Jane,Doe,1990-03-20,F,GB,
TXN003,ACC003,,,,P003,IND,BG123456C,NIDN,Robert,Jones,1975-12-01,M,GB,
TXN004,ACC004,,,,P004,IND,GB19850615JOHN#SMIT#,CONCAT,John,Smith,1985-06-15,M,GB,
TXN005,ACC005,,,,P005,IND,GB19901225JOHN#SMIT#,CONCAT,John,Smith,1985-06-15,M,GB,
TXN006,ACC006,,,,P006,IND,GB19850615JOHN#SMIT#,NIDN,John,Smith,1985-06-15,M,GB,
TXN007,ACC007,,,,P007,IND,549300TESTLEI0000001,LEI,,,,,GB,
TXN008,ACC008,,,,P008,IND,TESTBADLE2WRONGFMTXX,LEI,,,,,GB,
TXN009,ACC009,,,,P009,IND,,,Alice,Williams,1988-04-10,F,DE,
TXN010,ACC010,,,,P010,IND,,NIDN,Bob,Taylor,1992-07-22,M,FR,
TXN011,ACC011,,,,P011,IND,GB_P011,,Charlie,Brown,1983-09-05,M,GB,
TXN012,ACC012,,,,P012,IND,RSSMRA80A01H501U,NIDN,Mario,Rossi,1980-01-01,M,IT,
TXN013,ACC013,,,,P013,IND,RSSMRA80X01H501U,NIDN,Mario,Rossi,1980-01-01,M,IT,
TXN014,ACC014,,,,P014,IND,199001012389,NIDN,Erik,Johansson,1990-01-01,M,SE,
TXN015,ACC015,,,,P015,IND,1990010123XX,NIDN,Erik,Johansson,1990-01-01,M,SE,
TXN016,ACC016,,,,P016,IND,E123456,CCPT,Maria,Santos,1995-05-15,F,CY,
TXN017,ACC017,,,,P017,IND,FR19850615JEAN#DUPON,CONCAT,Jean,Dupont,1985-06-15,M,FR,
TXN018,JNT0001,,,,PJNT01A,JNT,AB123456C,NIDN,John,Smith,1985-06-15,M,GB,
TXN019,JNT0001,,,,PJNT01B,JNT,CD345678E,NIDN,Jane,Smith,1982-03-10,F,GB,
TXN020,ACCSHORT
