Transaction Reference,Account ID,Person Code,Account Type,Buyer ID Code,Type of Buyer ID Code,First Name,Surname,Date of Birth,Gender,Prefixed Nationality,Primary Nationality,Secondary Nationality,Trade_Date_Time,Correction,Correction Field,Correction Source,Tracker Status,Pass/Fail,Failure Reason,Actions Taken,Error,Kaizen Error,Match
TXN203,ACCB001,PCON,IND,AB123456C,NIDN,Jane,Doe,1990-03-20,F,,GB,,2026-01-10-10-00-00-000000,,,Standard validation (no prior valid ID),Not On tracker,Format: Pass | Logic: Pass,,Pass,N,,
TXN204,ACCB001,PCON,IND,AB123456C,NIDN,Jane,Doe,1990-03-20,F,,GB,,2026-02-10-10-00-00-000000,,,Standard validation (no prior valid ID),Not On tracker,Format: Pass | Logic: Pass,,Pass,N,,
TXN205,ACCB001,PCON,IND,AB123456C,NIDN,Jane,Doe,1990-03-20,F,,GB,,2026-03-10-10-00-00-000000,,,Standard validation (no prior valid ID),Not On tracker,Format: Pass | Logic: Pass,,Pass,N,,
TXN209,ACCD001,PFIX,IND,BADINVALIDID,NIDN,Maria,Garcia,1988-07-22,F,BA,GB,,2026-01-05-09-00-00-000000,BAPFIX:NIDN,ID:IDT,Standard validation (no prior valid ID),Not On tracker,Format: Fail | Logic: N/A,No NIDN format patterns defined for BA,"Inconsistent ID - No valid NIDN with prefix BA, using CONCAT | Replaced With fallback",N,,
TXN210,ACCD001,PFIX,IND,AB123456C,NIDN,Maria,Garcia,1988-07-22,F,,GB,,2026-03-05-09-00-00-000000,,,Already matches most recent valid NIDN (prefix: ),,Format: Pass | Logic: Pass,,Pass | Pass - Most recent valid NIDN,N,,
TXN216,ACCG001,PSRT,IND,AB12345ZZ,NIDN,James,Hill,1977-08-03,M,,GB,,2026-01-10-10-00-00-000000,AB123456B:NIDN,ID:IDT,Most recent valid NIDN (prefix: ) from 2026-03-10 10:00:00,,Format: Fail | Logic: N/A,Invalid NIDN format for GB: Does not match expected 9-character format,Inconsistent ID - Corrected to most recent valid NIDN (prefix: ),N,,
TXN217,ACCG001,PSRT,IND,AB123456A,NIDN,James,Hill,1977-08-03,M,,GB,,2026-02-10-10-00-00-000000,AB123456B:NIDN,ID:IDT,Most recent valid NIDN (prefix: ) from 2026-03-10 10:00:00,,Format: Pass | Logic: Pass,,Pass | Inconsistent ID - Valid NIDN standardized to most recent: AB123456B,N,,
TXN215,ACCG001,PSRT,IND,AB123456B,NIDN,James,Hill,1977-08-03,M,,GB,,2026-03-10-10-00-00-000000,,,Already matches most recent valid NIDN (prefix: ),,Format: Pass | Logic: Pass,,Pass | Pass - Most recent valid NIDN,N,,
TXN206,ACCC001,PINV,IND,AB12345ZZ,NIDN,Robert,Jones,1975-12-01,M,,GB,,2026-01-20-10-00-00-000000,GB19751201ROBERJONES:CONCAT,ID:IDT,Standard validation (no prior valid ID),Not On tracker,Format: Fail | Logic: N/A,Invalid NIDN format for GB: Does not match expected 9-character format,Replaced With CONCAT,N,,
TXN207,ACCC001,PINV,IND,AB12345ZZ,NIDN,Robert,Jones,1975-12-01,M,,GB,,2026-02-20-10-00-00-000000,GB19751201ROBERJONES:CONCAT,ID:IDT,Standard validation (no prior valid ID),Not On tracker,Format: Fail | Logic: N/A,Invalid NIDN format for GB: Does not match expected 9-character format,Replaced With CONCAT,N,,
TXN208,ACCC001,PINV,IND,AB12345ZZ,NIDN,Robert,Jones,1975-12-01,M,,GB,,2026-03-20-10-00-00-000000,GB19751201ROBERJONES:CONCAT,ID:IDT,Standard validation (no prior valid ID),Not On tracker,Format: Fail | Logic: N/A,Invalid NIDN format for GB: Does not match expected 9-character format,Replaced With CONCAT,N,,
TXN212,ACT001,PACCT,IND,AB123456C,NIDN,Sarah,Parker,1980-04-15,F,,GB,,2026-01-20-10-00-00-000000,AB123456B:NIDN,ID:IDT,Most recent valid NIDN (prefix: ) from 2026-03-20 10:00:00,,Format: Pass | Logic: Pass,,Pass | Inconsistent ID - Valid NIDN standardized to most recent: AB123456B,N,,
TXN213,ACT002,PACCT,IND,AB12345ZZ,NIDN,Sarah,Parker,1980-04-15,F,,GB,,2026-02-20-10-00-00-000000,AB123456B:NIDN,ID:IDT,Most recent valid NIDN (prefix: ) from 2026-03-20 10:00:00,,Format: Fail | Logic: N/A,Invalid NIDN format for GB: Does not match expected 9-character format,Inconsistent ID - Corrected to most recent valid NIDN (prefix: ),N,,
TXN214,ACT003,PACCT,IND,AB123456B,NIDN,Sarah,Parker,1980-04-15,F,,GB,,2026-03-20-10-00-00-000000,,,Already matches most recent valid NIDN (prefix: ),,Format: Pass | Logic: Pass,,Pass | Pass - Most recent valid NIDN,N,,
TXN200,ACCA001,PABC,IND,AB123456C,NIDN,John,Smith,1985-06-15,M,,GB,,2026-01-15-10-00-00-000000,AB123456B:NIDN,ID:IDT,Most recent valid NIDN (prefix: ) from 2026-03-15 10:00:00,,Format: Pass | Logic: Pass,,Pass | Inconsistent ID - Valid NIDN standardized to most recent: AB123456B,N,,
TXN201,ACCA001,PABC,IND,AB12345ZZ,NIDN,John,Smith,1985-06-15,M,,GB,,2026-02-15-10-00-00-000000,AB123456B:NIDN,ID:IDT,Most recent valid NIDN (prefix: ) from 2026-03-15 10:00:00,,Format: Fail | Logic: N/A,Invalid NIDN format for GB: Does not match expected 9-character format,Inconsistent ID - Corrected to most recent valid NIDN (prefix: ),N,,
TXN202,ACCA001,PABC,IND,AB123456B,NIDN,John,Smith,1985-06-15,M,,GB,,2026-03-15-10-00-00-000000,,,Already matches most recent valid NIDN (prefix: ),,Format: Pass | Logic: Pass,,Pass | Pass - Most recent valid NIDN,N,,
TXN211,ACCE001,PFAL,IND,GB_PFAL,NIDN,David,Wilson,1982-11-30,M,GB,GB,,2026-02-01-09-00-00-000000,GB19821130DAVIDWILSO:CONCAT,ID:IDT,Standard validation (no prior valid ID),Not On tracker,Format: Fail | Logic: N/A,"Invalid NIDN format for GB: Expected 9 characters, got 5",Replaced With CONCAT,N,,
