Reported Name & DOB,Reported IDs,Suggested Correction (Best Efforts),Incident Types,Incident Codes,Totals,Client Confirmed Correction,Client Confirmed Correction Fields,Client Comments
ALICE~JOHNSON~1980-04-15,NIDN:GBAJ123456B,,Invalid FN,13_1,3,No Change,,
ALICE~JOHNSON~1980-04-15,"NIDN:GBAJ123456B
CONCAT:GB19800415ALICJOHNSO",,Non-applicable ID type,7_36,1,GBAJ123456B,ID,
BOB~SMITH~1975-06-22,CONCAT:GB19750622BOBSMITH,,Non-applicable ID type|Below min DOB,7_36|11_2,2,No Change,,
CHARLIE~BROWN~1965-11-30,NIDN:GBCB987654C,,Inconsistent ID,7_66,5,GBCB987654C,ID,
N/A~N/A~N/A,LEI:529900T8BM49AURSDO55,,Invalid ID format,7_3,1,No Change,,Cannot verify
EDWARD~JONES~1990-02-14,NIDN:GBEJ654321D,,Missing first name,13_1,2,,,
FIONA~APPLE~1977-08-03,NIDN:GBFA111222A,,Invalid FN|Inconsistent ID,13_1|7_66,8,GBFA111222A,ID,
GEORGE~MARTIN~1943-06-03,NIDN:GBGM333444B,,Non-reportable,16_18,1,No Change,,
HARRIET~WILSON~1988-07-19,CONCAT:GB19880719HARRIWILS,,Non-applicable ID type,7_36,3,GBHW567890C,ID,
IAN~TAYLOR~1955-03-25,NIDN:GBIT345678D,,Invalid DM code,12_17,1,GBIT345678D,Buyer decision maker code,
JULIA~ROBERTS~1967-10-28,NIDN:GBJR456789E,,Inconsistent ID,7_66,2,,,
KARL~ANDERSSON~1972-04-11,PASS:SE72041199999,,Non-applicable ID type,7_36,1,GBKA789012F,ID,
